model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
retain,dx,8,4,0.3998509024418333,0.5987453607908826,0.2884615384615385,0.8851351351351351,0.8644354293441514,0.855255600229753,0.8507227332457293,0.8470149253731343,0.8469170800850461
deepr,dxtx,8,4,0.42403287031234604,0.6374136477594947,0.3360655737704918,0.8906506287588847,0.8749106504646176,0.8669891172914147,0.8594444444444445,0.8553934340802501,0.8515489467162329
deepr,dx,8,4,0.40219566142747787,0.6112151169792317,0.29357798165137616,0.7352185089974294,0.6652262328418912,0.6175354503694828,0.5990474510495678,0.5907612231620039,0.5892033220547523
bitenet,dxtx,10,0,0.3341820509284823,0.5752334560474096,0.16049382716049382,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,10,0,0.29370408503502665,0.5340419322977463,0.16483516483516486,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,10,0,0.33946370585898844,0.5963230672532998,0.21538461538461537,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,10,0,0.32648922376108375,0.5792515937864775,0.16279069767441862,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,10,0,0.3384050074023547,0.5735835503277363,0.18604651162790697,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,10,0,0.32605460652007906,0.5836962377660052,0.20224719101123598,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,10,0,0.29080248549854854,0.5803178593876268,0.17435897435897438,0.13160987074030553,0.22948328267477203,0.2911764705882353,0.31329597554763117,0.32137800849457293,0.31805929919137466
retain,dx,10,0,0.3122440486144034,0.5831350453443477,0.21929824561403508,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,10,0,0.3076017847528013,0.5855593966059083,0.17679558011049723,0.27521008403361347,0.38155339805825245,0.48563218390804597,0.5464044253226797,0.5854201446855871,0.6110244409776391
deepr,dx,10,0,0.32902605208030283,0.5681848792313908,0.25116279069767444,0.1486854034451496,0.18652612282309808,0.19759679572763686,0.20404097894137735,0.20736384556379442,0.20736665869409232
bitenet,dxtx,10,1,0.3201976959263157,0.6265813474551338,0.26200873362445415,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,10,1,0.32206182297156466,0.5786015494753358,0.22988505747126436,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,10,1,0.3089457370411306,0.584277238403452,0.1699346405228758,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,10,1,0.30907941329549904,0.5894380700205942,0.1893491124260355,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,10,1,0.3385373368416064,0.594893105815436,0.2751322751322751,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,10,1,0.32683451907256017,0.5914852407570854,0.24000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,10,1,0.29930521604199606,0.5833455918407375,0.22439024390243903,0.03935185185185185,0.050445103857566766,0.0498220640569395,0.048484848484848485,0.047787610619469026,0.04987735077677841
retain,dx,10,1,0.2766297776222417,0.5316392076100813,0.15789473684210525,0.631307929969104,0.6001583531274742,0.5645277577505408,0.5533240997229917,0.5438127090301004,0.5403120936280884
deepr,dxtx,10,1,0.3162787570288933,0.5669927429636168,0.2012578616352201,0.6378433367243134,0.5951020408163266,0.5661094224924013,0.5481972038263428,0.535483870967742,0.5300778485491862
deepr,dx,10,1,0.30481766062547677,0.568966362655683,0.2176165803108808,0.02005730659025788,0.027552674230145867,0.037037037037037035,0.04227212681638045,0.04681404421326398,0.06218274111675127
bitenet,dxtx,10,2,0.3962494700748666,0.6224977146906873,0.27272727272727276,0.6074688796680497,0.5619266055045872,0.5411764705882353,0.536097212294496,0.526685393258427,0.5197505197505198
bitenet,dx,10,2,0.36822709425764294,0.570500508417128,0.22535211267605634,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,10,2,0.3389201130932978,0.5773769784616016,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,10,2,0.35775056162749846,0.5917256396298312,0.1789473684210526,0.6621983914209115,0.5599700149925038,0.5212247738343772,0.5112474437627812,0.5053908355795148,0.5020080321285141
brnn,dxtx,10,2,0.3737153580202916,0.6183584802949845,0.17435897435897435,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,10,2,0.35291070385274603,0.5945604502829676,0.17525773195876287,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,10,2,0.33238131369889246,0.5818038023438543,0.25101214574898784,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,10,2,0.33679100799562783,0.5946837029200603,0.24369747899159663,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,10,2,0.3374566960489708,0.5955053871673462,0.1497326203208556,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dx,10,2,0.3469031541335536,0.5587555592074855,0.24347826086956517,0.8955882352941177,0.6805170821791321,0.5331905781584583,0.4564290067032297,0.4045307443365696,0.3772635814889336
bitenet,dxtx,10,3,0.3581449372519373,0.6078891745838055,0.2597402597402597,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,10,3,0.33487787171804484,0.5490444957726837,0.24271844660194178,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,10,3,0.4209018196710014,0.6597555129434324,0.2421052631578947,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,10,3,0.35534170897109035,0.5693693890002615,0.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,10,3,0.3761491579237826,0.614987361631657,0.2233502538071066,0.584446190102121,0.5362007168458781,0.5205288796102993,0.5098841172460804,0.5060893098782138,0.5040431266846361
brnn,dx,10,3,0.37396700690498386,0.5937854092216509,0.23469387755102042,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,10,3,0.3618299505356552,0.615183474243877,0.1694915254237288,0.4560925799863853,0.37686274509803924,0.36402180496668685,0.35453819536864517,0.3508557457212714,0.35123198512319853
retain,dx,10,3,0.32811472725885016,0.5671249891048549,0.20192307692307687,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,10,3,0.3267167824579543,0.5839797786106511,0.17821782178217824,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dx,10,3,0.3236806503713515,0.587182951276911,0.1836734693877551,0.5176233635448136,0.4377605717689101,0.4012767897856817,0.38585461689587425,0.3755334281650071,0.3707010582010582
bitenet,dxtx,10,4,0.37565707909500334,0.621127415404155,0.21468926553672316,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,10,4,0.34293965932120496,0.626808718134809,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,10,4,0.38158063515873375,0.5926245123831988,0.2584269662921348,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,10,4,0.33781103952482194,0.5750929873900027,0.19883040935672514,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,10,4,0.35450101700665415,0.5962646285040369,0.21505376344086022,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,10,4,0.3576278277142795,0.5907194048807041,0.3069306930693069,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,10,4,0.32305434819779594,0.567767395445886,0.20809248554913296,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,10,4,0.3644271591139378,0.5867050712147328,0.27619047619047615,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,10,4,0.32494367500370536,0.5652839517372766,0.20238095238095238,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,10,4,0.35650264760941247,0.5770661344461581,0.25136612021857924,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,12,0,0.3832267595911685,0.582139342139342,0.2559241706161137,0.48943788041532404,0.5674170341146437,0.5735800344234079,0.5809051456912585,0.5857598723573992,0.5899727944034201
bitenet,dx,12,0,0.38966720698170126,0.5856721056721057,0.25120772946859904,0.4394506866416979,0.5063938618925832,0.5185758513931888,0.5301989150090416,0.534051424600417,0.5372681281618887
rnn,dxtx,12,0,0.4057118551765872,0.5885314685314684,0.28225806451612906,0.43100852985449073,0.5001897533206832,0.5192970365265335,0.5330965450435906,0.5436470953712333,0.5531080265540133
rnn,dx,12,0,0.45443405277845317,0.6536026936026935,0.30622009569377995,0.39767129422301833,0.4352791878172589,0.44523470839260315,0.4508131165022661,0.4548254620123203,0.46092184368737477
brnn,dxtx,12,0,0.39044422090747755,0.5870292670292669,0.21761658031088082,0.46272912423625256,0.4811480022509848,0.4729556523968213,0.4737620103473762,0.47686746987951806,0.4797345342498222
brnn,dx,12,0,0.3957819418997172,0.5846982646982647,0.24615384615384614,0.6387665198237885,0.7336182336182336,0.7543513957307061,0.7669055780617015,0.7745629897528632,0.7809021675454013
retain,dxtx,12,0,0.37934512806347687,0.5930795130795131,0.25961538461538464,0.3659961064243997,0.4123268036311515,0.4372331340734415,0.45228548516439454,0.4641093809342955,0.46827458256029686
retain,dx,12,0,0.3612095598108603,0.5980937580937581,0.17708333333333334,0.5017167381974249,0.5632754342431762,0.580522565320665,0.5856861457649376,0.5903913853799958,0.5962683604605002
deepr,dxtx,12,0,0.37469149874392094,0.5894431494431496,0.2311557788944724,0.3556437889960295,0.39106796116504855,0.40963038318073924,0.42625506704084815,0.4401983663943991,0.44494130799329235
deepr,dx,12,0,0.371805490712769,0.601087801087801,0.1739130434782609,0.4741919922817173,0.5175122749590835,0.5299915516755843,0.5389593580119079,0.5462940461725395,0.5502092050209205
bitenet,dxtx,12,1,0.36105659976767346,0.6109398152183387,0.22564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,12,1,0.35156123688271274,0.5836365815392661,0.2682926829268293,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,12,1,0.3463146191372776,0.5815065806676545,0.21105527638190952,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,12,1,0.3397687405737426,0.5635404863592783,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,12,1,0.34647181024098306,0.5731826897934281,0.23645320197044337,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,12,1,0.3498916600646925,0.5857556872657543,0.25,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,12,1,0.35345588357633095,0.6030571777216072,0.25862068965517243,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,12,1,0.3124361629860124,0.5484833957988321,0.18446601941747573,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,12,1,0.39201570600515423,0.5873463784537609,0.330188679245283,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,12,1,0.3330110873633473,0.5688137365989715,0.22439024390243906,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dxtx,12,2,0.3167099128320345,0.5743548461823573,0.15757575757575756,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,12,2,0.3215910832691024,0.562563704595997,0.23809523809523808,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,12,2,0.3339596384412522,0.6125486471460342,0.2058823529411765,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dx,12,2,0.33276252683878244,0.5783566530763529,0.2328042328042328,0.6025744167337088,0.5205003474635164,0.5084860828241684,0.5033602150537635,0.5026845637583892,0.5026809651474531
brnn,dxtx,12,2,0.30176761882000896,0.5731676241660488,0.17708333333333331,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,12,2,0.33643743218398836,0.6047303558191253,0.22797927461139894,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,12,2,0.2967230949744566,0.5659400481838399,0.1702127659574468,0.7742134484885873,0.7454844006568144,0.7455882352941177,0.7469793887704336,0.7448731317344456,0.7445054945054945
retain,dx,12,2,0.3151092086783222,0.5714070607857672,0.240343347639485,0.7904761904761904,0.6956399437412095,0.6064474253569884,0.5515930485155685,0.522994997579474,0.5098331346841478
deepr,dxtx,12,2,0.28268688973876943,0.5567318383988139,0.22522522522522523,0.9533213644524237,0.9202226345083488,0.8940926024481107,0.864760058167717,0.8393339333933393,0.8209902666102412
deepr,dx,12,2,0.3367852483810915,0.5885030578206079,0.24083769633507854,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,12,3,0.3113723757647644,0.567893645227506,0.17171717171717174,0.5045924225028703,0.5011047282368537,0.5050060072086504,0.5019127773527161,0.5048112509252406,0.504907306434024
bitenet,dx,12,3,0.3330959258368037,0.5688772237427301,0.1693121693121693,0.5177345537757437,0.5454154111063281,0.5417329093799682,0.5362763915547025,0.53562103692652,0.5304633345494345
rnn,dxtx,12,3,0.35547349428069436,0.5971283783783784,0.1666666666666667,0.48161597821152974,0.49595445010488465,0.4958609271523179,0.4968404423380727,0.49821701477330615,0.49962546816479403
rnn,dx,12,3,0.31820228325177735,0.5442824153267192,0.20779220779220778,0.5553047404063205,0.519916142557652,0.5095890410958904,0.5071477195371,0.5050778605280974,0.5020188425302826
